,FID,UniqueID,Country,USA_AEZ,Image,Month,Year,jd,long,lat,Crop,Stage,global_aez,State,Information
0,0,1466,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.663419,38.534516,corn,Critical,9,California,UniqueID: 1466 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.663419 | Latitude: 38.534516 | Crop: corn | Crop Stage: Critical | Global AEZ: 9
44,44,1731,USA,2,EO1H0380372011280110PJ_SGS_01,10,2011,280,-114.186761,32.688863,cotton,Mature_Senesc,9,Arizona,UniqueID: 1731 | USA AEZ: 2 | Month: 10 | Year: 2011 | jd: 280 | Longitude: -114.186761 | Latitude: 32.688863 | Crop: cotton | Crop Stage: Mature_Senesc | Global AEZ: 9
45,45,1732,USA,2,EO1H0380372011280110PJ_SGS_01,10,2011,280,-114.189273,32.686807,cotton,Mature_Senesc,9,Arizona,UniqueID: 1732 | USA AEZ: 2 | Month: 10 | Year: 2011 | jd: 280 | Longitude: -114.189273 | Latitude: 32.686807 | Crop: cotton | Crop Stage: Mature_Senesc | Global AEZ: 9
46,46,1733,USA,2,EO1H0380372011280110PJ_SGS_01,10,2011,280,-114.186247,32.686521,cotton,Mature_Senesc,9,Arizona,UniqueID: 1733 | USA AEZ: 2 | Month: 10 | Year: 2011 | jd: 280 | Longitude: -114.186247 | Latitude: 32.686521 | Crop: cotton | Crop Stage: Mature_Senesc | Global AEZ: 9
47,47,1787,USA,2,EO1H0380372012134110K1_SGS_01,5,2012,134,-114.186761,32.688863,cotton,Emerge_VEarly,9,Arizona,UniqueID: 1787 | USA AEZ: 2 | Month: 5 | Year: 2012 | jd: 134 | Longitude: -114.186761 | Latitude: 32.688863 | Crop: cotton | Crop Stage: Emerge_VEarly | Global AEZ: 9
48,48,1788,USA,2,EO1H0380372012134110K1_SGS_01,5,2012,134,-114.189273,32.686807,cotton,Emerge_VEarly,9,Arizona,UniqueID: 1788 | USA AEZ: 2 | Month: 5 | Year: 2012 | jd: 134 | Longitude: -114.189273 | Latitude: 32.686807 | Crop: cotton | Crop Stage: Emerge_VEarly | Global AEZ: 9
49,49,1789,USA,2,EO1H0380372012134110K1_SGS_01,5,2012,134,-114.186247,32.686521,cotton,Emerge_VEarly,9,Arizona,UniqueID: 1789 | USA AEZ: 2 | Month: 5 | Year: 2012 | jd: 134 | Longitude: -114.186247 | Latitude: 32.686521 | Crop: cotton | Crop Stage: Emerge_VEarly | Global AEZ: 9
50,50,1837,USA,2,EO1H0380372012139110K2_SGS_01,5,2012,139,-114.186761,32.688863,cotton,Early_Mid,9,Arizona,UniqueID: 1837 | USA AEZ: 2 | Month: 5 | Year: 2012 | jd: 139 | Longitude: -114.186761 | Latitude: 32.688863 | Crop: cotton | Crop Stage: Early_Mid | Global AEZ: 9
51,51,1838,USA,2,EO1H0380372012139110K2_SGS_01,5,2012,139,-114.189273,32.686807,cotton,Early_Mid,9,Arizona,UniqueID: 1838 | USA AEZ: 2 | Month: 5 | Year: 2012 | jd: 139 | Longitude: -114.189273 | Latitude: 32.686807 | Crop: cotton | Crop Stage: Early_Mid | Global AEZ: 9
52,52,1839,USA,2,EO1H0380372012139110K2_SGS_01,5,2012,139,-114.186247,32.686521,cotton,Early_Mid,9,Arizona,UniqueID: 1839 | USA AEZ: 2 | Month: 5 | Year: 2012 | jd: 139 | Longitude: -114.186247 | Latitude: 32.686521 | Crop: cotton | Crop Stage: Early_Mid | Global AEZ: 9
53,53,1887,USA,2,EO1H0380372012160110K2_SGS_01,6,2012,160,-114.186761,32.688863,cotton,Early_Mid,9,Arizona,UniqueID: 1887 | USA AEZ: 2 | Month: 6 | Year: 2012 | jd: 160 | Longitude: -114.186761 | Latitude: 32.688863 | Crop: cotton | Crop Stage: Early_Mid | Global AEZ: 9
54,54,1888,USA,2,EO1H0380372012160110K2_SGS_01,6,2012,160,-114.189273,32.686807,cotton,Early_Mid,9,Arizona,UniqueID: 1888 | USA AEZ: 2 | Month: 6 | Year: 2012 | jd: 160 | Longitude: -114.189273 | Latitude: 32.686807 | Crop: cotton | Crop Stage: Early_Mid | Global AEZ: 9
55,55,1889,USA,2,EO1H0380372012160110K2_SGS_01,6,2012,160,-114.186247,32.686521,cotton,Early_Mid,9,Arizona,UniqueID: 1889 | USA AEZ: 2 | Month: 6 | Year: 2012 | jd: 160 | Longitude: -114.186247 | Latitude: 32.686521 | Crop: cotton | Crop Stage: Early_Mid | Global AEZ: 9
56,56,2163,USA,6,EO1H0290292011253110K1_PF2_01,9,2011,253,-96.673111,44.629312,corn,Critical,10,South Dakota,UniqueID: 2163 | USA AEZ: 6 | Month: 9 | Year: 2011 | jd: 253 | Longitude: -96.673111 | Latitude: 44.629312 | Crop: corn | Crop Stage: Critical | Global AEZ: 10
57,57,2164,USA,6,EO1H0290292011253110K1_PF2_01,9,2011,253,-96.671112,44.628812,corn,Critical,10,South Dakota,UniqueID: 2164 | USA AEZ: 6 | Month: 9 | Year: 2011 | jd: 253 | Longitude: -96.671112 | Latitude: 44.628812 | Crop: corn | Crop Stage: Critical | Global AEZ: 10
58,58,2167,USA,6,EO1H0290292011253110K1_PF2_01,9,2011,253,-96.828057,44.062381,corn,Critical,12,South Dakota,UniqueID: 2167 | USA AEZ: 6 | Month: 9 | Year: 2011 | jd: 253 | Longitude: -96.828057 | Latitude: 44.062381 | Crop: corn | Crop Stage: Critical | Global AEZ: 12
59,59,2168,USA,6,EO1H0290292011253110K1_PF2_01,9,2011,253,-96.774029,44.345299,corn,Critical,12,South Dakota,UniqueID: 2168 | USA AEZ: 6 | Month: 9 | Year: 2011 | jd: 253 | Longitude: -96.774029 | Latitude: 44.345299 | Crop: corn | Crop Stage: Critical | Global AEZ: 12
60,60,2169,USA,6,EO1H0290292011253110K1_PF2_01,9,2011,253,-96.723632,44.394125,corn,Critical,10,South Dakota,UniqueID: 2169 | USA AEZ: 6 | Month: 9 | Year: 2011 | jd: 253 | Longitude: -96.723632 | Latitude: 44.394125 | Crop: corn | Crop Stage: Critical | Global AEZ: 10
61,61,2170,USA,6,EO1H0290292011253110K1_PF2_01,9,2011,253,-96.683871,44.500844,corn,Critical,10,South Dakota,UniqueID: 2170 | USA AEZ: 6 | Month: 9 | Year: 2011 | jd: 253 | Longitude: -96.683871 | Latitude: 44.500844 | Crop: corn | Crop Stage: Critical | Global AEZ: 10
62,62,2171,USA,6,EO1H0290292011253110K1_PF2_01,9,2011,253,-96.639085,44.632033,corn,Critical,10,South Dakota,UniqueID: 2171 | USA AEZ: 6 | Month: 9 | Year: 2011 | jd: 253 | Longitude: -96.639085 | Latitude: 44.632033 | Crop: corn | Crop Stage: Critical | Global AEZ: 10
63,63,2172,USA,6,EO1H0290292011253110K1_PF2_01,9,2011,253,-96.883594,44.032459,corn,Critical,12,South Dakota,UniqueID: 2172 | USA AEZ: 6 | Month: 9 | Year: 2011 | jd: 253 | Longitude: -96.883594 | Latitude: 44.032459 | Crop: corn | Crop Stage: Critical | Global AEZ: 12
64,64,2173,USA,6,EO1H0290292011253110K1_PF2_01,9,2011,253,-96.681249,44.643446,soybean,Critical,10,South Dakota,UniqueID: 2173 | USA AEZ: 6 | Month: 9 | Year: 2011 | jd: 253 | Longitude: -96.681249 | Latitude: 44.643446 | Crop: soybean | Crop Stage: Critical | Global AEZ: 10
65,65,2174,USA,6,EO1H0290292011253110K1_PF2_01,9,2011,253,-96.664902,44.64316,soybean,Critical,10,South Dakota,UniqueID: 2174 | USA AEZ: 6 | Month: 9 | Year: 2011 | jd: 253 | Longitude: -96.664902 | Latitude: 44.64316 | Crop: soybean | Crop Stage: Critical | Global AEZ: 10
66,66,2177,USA,6,EO1H0290292011253110K1_PF2_01,9,2011,253,-96.700237,44.446998,soybean,Critical,10,South Dakota,UniqueID: 2177 | USA AEZ: 6 | Month: 9 | Year: 2011 | jd: 253 | Longitude: -96.700237 | Latitude: 44.446998 | Crop: soybean | Crop Stage: Critical | Global AEZ: 10
67,67,2178,USA,6,EO1H0290292011253110K1_PF2_01,9,2011,253,-96.768694,44.417944,soybean,Critical,10,South Dakota,UniqueID: 2178 | USA AEZ: 6 | Month: 9 | Year: 2011 | jd: 253 | Longitude: -96.768694 | Latitude: 44.417944 | Crop: soybean | Crop Stage: Critical | Global AEZ: 10
68,68,2179,USA,6,EO1H0290292011253110K1_PF2_01,9,2011,253,-96.763005,44.387907,soybean,Critical,10,South Dakota,UniqueID: 2179 | USA AEZ: 6 | Month: 9 | Year: 2011 | jd: 253 | Longitude: -96.763005 | Latitude: 44.387907 | Crop: soybean | Crop Stage: Critical | Global AEZ: 10
69,69,2182,USA,6,EO1H0290292011253110K1_PF2_01,9,2011,253,-96.73107,44.407325,soybean,Critical,10,South Dakota,UniqueID: 2182 | USA AEZ: 6 | Month: 9 | Year: 2011 | jd: 253 | Longitude: -96.73107 | Latitude: 44.407325 | Crop: soybean | Crop Stage: Critical | Global AEZ: 10
70,70,2183,USA,6,EO1H0290292011253110K1_PF2_01,9,2011,253,-96.770007,44.40187,soybean,Critical,10,South Dakota,UniqueID: 2183 | USA AEZ: 6 | Month: 9 | Year: 2011 | jd: 253 | Longitude: -96.770007 | Latitude: 44.40187 | Crop: soybean | Crop Stage: Critical | Global AEZ: 10
71,71,2184,USA,6,EO1H0290292011253110K1_PF2_01,9,2011,253,-96.898039,43.943338,soybean,Critical,12,South Dakota,UniqueID: 2184 | USA AEZ: 6 | Month: 9 | Year: 2011 | jd: 253 | Longitude: -96.898039 | Latitude: 43.943338 | Crop: soybean | Crop Stage: Critical | Global AEZ: 12
72,72,2213,USA,6,EO1H0290292011276110K3_PF2_01,10,2011,276,-96.673111,44.629312,corn,Harvest,10,South Dakota,UniqueID: 2213 | USA AEZ: 6 | Month: 10 | Year: 2011 | jd: 276 | Longitude: -96.673111 | Latitude: 44.629312 | Crop: corn | Crop Stage: Harvest | Global AEZ: 10
73,73,2214,USA,6,EO1H0290292011276110K3_PF2_01,10,2011,276,-96.671112,44.628812,corn,Harvest,10,South Dakota,UniqueID: 2214 | USA AEZ: 6 | Month: 10 | Year: 2011 | jd: 276 | Longitude: -96.671112 | Latitude: 44.628812 | Crop: corn | Crop Stage: Harvest | Global AEZ: 10
74,74,2215,USA,6,EO1H0290292011276110K3_PF2_01,10,2011,276,-96.681664,44.451792,corn,Harvest,10,South Dakota,UniqueID: 2215 | USA AEZ: 6 | Month: 10 | Year: 2011 | jd: 276 | Longitude: -96.681664 | Latitude: 44.451792 | Crop: corn | Crop Stage: Harvest | Global AEZ: 10
75,75,2216,USA,6,EO1H0290292011276110K3_PF2_01,10,2011,276,-96.678536,44.46106,corn,Harvest,10,South Dakota,UniqueID: 2216 | USA AEZ: 6 | Month: 10 | Year: 2011 | jd: 276 | Longitude: -96.678536 | Latitude: 44.46106 | Crop: corn | Crop Stage: Harvest | Global AEZ: 10
76,76,2217,USA,6,EO1H0290292011276110K3_PF2_01,10,2011,276,-96.828057,44.062381,corn,Harvest,12,South Dakota,UniqueID: 2217 | USA AEZ: 6 | Month: 10 | Year: 2011 | jd: 276 | Longitude: -96.828057 | Latitude: 44.062381 | Crop: corn | Crop Stage: Harvest | Global AEZ: 12
77,77,2218,USA,6,EO1H0290292011276110K3_PF2_01,10,2011,276,-96.774029,44.345299,corn,Harvest,12,South Dakota,UniqueID: 2218 | USA AEZ: 6 | Month: 10 | Year: 2011 | jd: 276 | Longitude: -96.774029 | Latitude: 44.345299 | Crop: corn | Crop Stage: Harvest | Global AEZ: 12
78,78,2219,USA,6,EO1H0290292011276110K3_PF2_01,10,2011,276,-96.723632,44.394125,corn,Harvest,10,South Dakota,UniqueID: 2219 | USA AEZ: 6 | Month: 10 | Year: 2011 | jd: 276 | Longitude: -96.723632 | Latitude: 44.394125 | Crop: corn | Crop Stage: Harvest | Global AEZ: 10
79,79,2220,USA,6,EO1H0290292011276110K3_PF2_01,10,2011,276,-96.683871,44.500844,corn,Harvest,10,South Dakota,UniqueID: 2220 | USA AEZ: 6 | Month: 10 | Year: 2011 | jd: 276 | Longitude: -96.683871 | Latitude: 44.500844 | Crop: corn | Crop Stage: Harvest | Global AEZ: 10
80,80,2221,USA,6,EO1H0290292011276110K3_PF2_01,10,2011,276,-96.639085,44.632033,corn,Harvest,10,South Dakota,UniqueID: 2221 | USA AEZ: 6 | Month: 10 | Year: 2011 | jd: 276 | Longitude: -96.639085 | Latitude: 44.632033 | Crop: corn | Crop Stage: Harvest | Global AEZ: 10
81,81,2222,USA,6,EO1H0290292011276110K3_PF2_01,10,2011,276,-96.883594,44.032459,corn,Harvest,12,South Dakota,UniqueID: 2222 | USA AEZ: 6 | Month: 10 | Year: 2011 | jd: 276 | Longitude: -96.883594 | Latitude: 44.032459 | Crop: corn | Crop Stage: Harvest | Global AEZ: 12
82,82,2223,USA,6,EO1H0290292011276110K3_PF2_01,10,2011,276,-96.681249,44.643446,soybean,Mature_Senesc,10,South Dakota,UniqueID: 2223 | USA AEZ: 6 | Month: 10 | Year: 2011 | jd: 276 | Longitude: -96.681249 | Latitude: 44.643446 | Crop: soybean | Crop Stage: Mature_Senesc | Global AEZ: 10
83,83,2224,USA,6,EO1H0290292011276110K3_PF2_01,10,2011,276,-96.664902,44.64316,soybean,Mature_Senesc,10,South Dakota,UniqueID: 2224 | USA AEZ: 6 | Month: 10 | Year: 2011 | jd: 276 | Longitude: -96.664902 | Latitude: 44.64316 | Crop: soybean | Crop Stage: Mature_Senesc | Global AEZ: 10
